Código,Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
21305,ANCASH,MARISCAL LUZURIAGA,LLAMA,25,128,287
21306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,68,1149,857
21307,ANCASH,MARISCAL LUZURIAGA,LUCMA,94,322,721
21308,ANCASH,MARISCAL LUZURIAGA,MUSGA,34,50,293
21401,ANCASH,OCROS,OCROS,46,230,104
21402,ANCASH,OCROS,ACAS,4,29,108
21403,ANCASH,OCROS,CAJAMARQUILLA,5,31,12
21404,ANCASH,OCROS,CARHUAPAMPA,15,90,89
21405,ANCASH,OCROS,COCHAS,26,101,466
21406,ANCASH,OCROS,CONGAS,3,13,211
21407,ANCASH,OCROS,LLIPA,13,34,33
21408,ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,3,41,77
21409,ANCASH,OCROS,SAN PEDRO,42,84,99
21410,ANCASH,OCROS,SANTIAGO DE CHILCAS,7,92,109
21501,ANCASH,PALLASCA,CABANA,112,482,72
21502,ANCASH,PALLASCA,BOLOGNESI,32,169,143
21503,ANCASH,PALLASCA,CONCHUCOS,96,1783,716
21504,ANCASH,PALLASCA,HUACASCHUQUE,22,103,57
21505,ANCASH,PALLASCA,HUANDOVAL,65,217,50
21506,ANCASH,PALLASCA,LACABAMBA,9,103,86
21507,ANCASH,PALLASCA,LLAPO,21,153,5
21508,ANCASH,PALLASCA,PALLASCA,83,549,174
21509,ANCASH,PALLASCA,PAMPAS,168,712,397
21510,ANCASH,PALLASCA,SANTA ROSA,60,122,31
21511,ANCASH,PALLASCA,TAUCA,76,602,176
21601,ANCASH,POMABAMBA,POMABAMBA,553,1369,2490
21602,ANCASH,POMABAMBA,HUAYLLAN,67,476,645
21603,ANCASH,POMABAMBA,PAROBAMBA,93,313,1811
21604,ANCASH,POMABAMBA,QUINUABAMBA,33,187,785
21701,ANCASH,RECUAY,RECUAY,292,911,606
21702,ANCASH,RECUAY,CATAC,371,840,245
21703,ANCASH,RECUAY,COTAPARACO,42,96,21
21704,ANCASH,RECUAY,HUAYLLAPAMPA,13,125,149
21705,ANCASH,RECUAY,LLACLLIN,34,133,184
21706,ANCASH,RECUAY,MARCA,25,136,188
21707,ANCASH,RECUAY,PAMPAS CHICO,10,193,89
21708,ANCASH,RECUAY,PARARIN,33,125,177
21709,ANCASH,RECUAY,TAPACOCHA,6,88,64
21710,ANCASH,RECUAY,TICAPAMPA,143,389,272
