Código,Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
50610,AYACUCHO,LUCANAS,LLAUTA,69,187,79
50611,AYACUCHO,LUCANAS,LUCANAS,140,431,359
50612,AYACUCHO,LUCANAS,OCANA,27,231,627
50613,AYACUCHO,LUCANAS,OTOCA,105,213,332
50614,AYACUCHO,LUCANAS,SAISA,32,54,35
50615,AYACUCHO,LUCANAS,SAN CRISTOBAL,18,250,256
50616,AYACUCHO,LUCANAS,SAN JUAN,46,134,52
50617,AYACUCHO,LUCANAS,SAN PEDRO,47,471,383
50618,AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,38,176,220
50619,AYACUCHO,LUCANAS,SANCOS,164,432,397
50620,AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHUACHO,16,150,56
50621,AYACUCHO,LUCANAS,SANTA LUCIA,106,155,144
50701,AYACUCHO,PARINACOCHAS,CORACORA,675,1700,1101
50702,AYACUCHO,PARINACOCHAS,CHUMPI,103,499,218
50703,AYACUCHO,PARINACOCHAS,CORONEL CASTANEDA,77,95,144
50704,AYACUCHO,PARINACOCHAS,PACAPAUSA,22,148,130
50705,AYACUCHO,PARINACOCHAS,PULLO,369,558,263
50706,AYACUCHO,PARINACOCHAS,PUYUSCA,203,360,185
50707,AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO,59,81,67
50708,AYACUCHO,PARINACOCHAS,UPAHUACHO,36,278,279
50801,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,205,457,327
50802,AYACUCHO,PAUCAR DEL SARA SARA,COLTA,18,97,76
50803,AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA,17,71,69
50804,AYACUCHO,PAUCAR DEL SARA SARA,LAMPA,123,454,147
50805,AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA,18,104,86
50806,AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,44,208,155
50807,AYACUCHO,PAUCAR DEL SARA SARA,PARARCA,19,105,55
50808,AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,34,68,101
50809,AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA,16,56,19
50810,AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA,49,120,32
50901,AYACUCHO,SUCRE,QUEROBAMBA,182,461,163
50902,AYACUCHO,SUCRE,BELEN,11,58,36
50903,AYACUCHO,SUCRE,CHALCOS,13,139,36
50904,AYACUCHO,SUCRE,CHILCAYOC,35,141,49
50905,AYACUCHO,SUCRE,HUACANA,57,70,52
50906,AYACUCHO,SUCRE,MORCOLLA,44,272,179
50907,AYACUCHO,SUCRE,PAICO,32,129,156
50908,AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,24,176,156
50909,AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE,22,278,228
50910,AYACUCHO,SUCRE,SANTIAGO DE PAUCARAY,10,115,152
50911,AYACUCHO,SUCRE,SORAS,45,206,140
51001,AYACUCHO,VICTOR FAJARDO,HUANCAPI,82,343,284
51002,AYACUCHO,VICTOR FAJARDO,ALCAMENCA,37,244,445
51003,AYACUCHO,VICTOR FAJARDO,APONGO,59,96,206
51004,AYACUCHO,VICTOR FAJARDO,ASQUIPATA,20,61,118
51005,AYACUCHO,VICTOR FAJARDO,CANARIA,206,508,306
51006,AYACUCHO,VICTOR FAJARDO,CAYARA,43,77,441
51007,AYACUCHO,VICTOR FAJARDO,COLCA,24,200,315
51008,AYACUCHO,VICTOR FAJARDO,HUAMANQUIQUIA,11,182,309
51009,AYACUCHO,VICTOR FAJARDO,HUANCARAYLLA,33,321,229
,AYACUCHO,VICTOR FAJARDO,HUAYA,32,440,362
51011,AYACUCHO,VICTOR FAJARDO,SARHUA,29,305,822
51012,AYACUCHO,VICTOR FAJARDO,VILCANCHOS,48,493,651
51101,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,202,1227,1093
51102,AYACUCHO,VILCAS HUAMAN,ACCOMARCA,27,11,603
51103,AYACUCHO,VILCAS HUAMAN,CARHUANCA,20,207,121
51104,AYACUCHO,VILCAS HUAMAN,CONCEPCION,45,279,612
51105,AYACUCHO,VILCAS HUAMAN,HUAMBALPA,20,167,495
51106,AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA,21,115,411
51107,AYACUCHO,VILCAS HUAMAN,SAURAMA,24,193,239
51108,AYACUCHO,VILCAS HUAMAN,VISCHONGO,127,866,394
60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,65492,171995,206025
60102,CAJAMARCA,CAJAMARCA,ASUNCION,146,1275,932
60103,CAJAMARCA,CAJAMARCA,CHETILLA,65492,171995,206025
60104,CAJAMARCA,CAJAMARCA,COSPAN,102,956,1051
60105,CAJAMARCA,CAJAMARCA,ENCANADA,65492,171995,206025
60106,CAJAMARCA,CAJAMARCA,JESUS,401,1673,2101
60107,CAJAMARCA,CAJAMARCA,LLACANORA,248,811,684
60108,CAJAMARCA,CAJAMARCA,LOS BANOS DEL INCA,3345,6442,4093
60109,CAJAMARCA,CAJAMARCA,MAGDALENA,145,500,2269
60110,CAJAMARCA,CAJAMARCA,MATARA,108,755,453
60111,CAJAMARCA,CAJAMARCA,NAMORA,266,1569,1625
60112,CAJAMARCA,CAJAMARCA,SAN JUAN,172,812,706
60201,CAJAMARCA,CAJABAMBA,CAJABAMBA,2552,4789,3134
60202,CAJAMARCA,CAJABAMBA,CACHACHI,737,2732,3941
60203,CAJAMARCA,CAJABAMBA,CONDEBAMBA,380,1777,2120
60204,CAJAMARCA,CAJABAMBA,SITACOCHA,90,1364,1257
60301,CAJAMARCA,CELENDIN,CELENDIN,1183,2906,2713
60302,CAJAMARCA,CELENDIN,CHUMUCH,21,361,622
60303,CAJAMARCA,CELENDIN,CORTEGANA,68,1131,977
60304,CAJAMARCA,CELENDIN,HUASMIN,76,1359,2317
60305,CAJAMARCA,CELENDIN,JORGE CHAVEZ,11,89,98
60306,CAJAMARCA,CELENDIN,JOSE GALVEZ,79,386,374
60307,CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,26,470,886
60308,CAJAMARCA,CELENDIN,OXAMARCA,64,1029,1538
60309,CAJAMARCA,CELENDIN,SOROCHUCO,96,913,2055
60310,CAJAMARCA,CELENDIN,SUCRE,115,608,599
60311,CAJAMARCA,CELENDIN,UTCO,31,253,133
60312,CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,86,823,1575
60401,CAJAMARCA,CHOTA,CHOTA,2107,6955,5306
60402,CAJAMARCA,CHOTA,ANGUIA,58,533,669
60403,CAJAMARCA,CHOTA,CHADIN,62,831,692
60404,CAJAMARCA,CHOTA,CHIGUIRIP,47,922,611
60405,CAJAMARCA,CHOTA,CHIMBAN,38,175,551
60406,CAJAMARCA,CHOTA,CHOROPAMPA,75,539,411
60407,CAJAMARCA,CHOTA,COCHABAMBA,109,402,1651
60408,CAJAMARCA,CHOTA,CONCHAN,231,1166,495
60409,CAJAMARCA,CHOTA,HUAMBOS,124,865,2105
60410,CAJAMARCA,CHOTA,LAJAS,129,1549,2712
60411,CAJAMARCA,CHOTA,LLAMA,246,1211,1306
60412,CAJAMARCA,CHOTA,MIRACOSTA,48,439,817
60413,CAJAMARCA,CHOTA,PACCHA,139,752,740
60414,CAJAMARCA,CHOTA,PION,7,97,303
60415,CAJAMARCA,CHOTA,QUEROCOTO,130,1322,1404
60416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,11,147,208
60417,CAJAMARCA,CHOTA,TACABAMBA,310,1989,2313
60418,CAJAMARCA,CHOTA,TOCMOCHE,34,71,301
60419,CAJAMARCA,CHOTA,CHALAMARCA,82,1524,1207
60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,137,463,1503
60502,CAJAMARCA,CONTUMAZA,CHILETE,111,304,698
60503,CAJAMARCA,CONTUMAZA,CUPISNIQUE,33,66,459
60504,CAJAMARCA,CONTUMAZA,GUZMANGO,11,182,430
60505,CAJAMARCA,CONTUMAZA,SAN BENITO,63,419,613
60506,CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLED,3,74,207
60507,CAJAMARCA,CONTUMAZA,TANTARICA,82,273,432
60508,CAJAMARCA,CONTUMAZA,YONAN,221,1242,727
60601,CAJAMARCA,CUTERVO,CUTERVO,2003,8494,10087
60602,CAJAMARCA,CUTERVO,CALLAYUC,138,741,2811
60603,CAJAMARCA,CUTERVO,CHOROS,68,319,899
60604,CAJAMARCA,CUTERVO,CUJILLO,37,410,460
60605,CAJAMARCA,CUTERVO,LA RAMADA,97,415,872
60606,CAJAMARCA,CUTERVO,PIMPINGOS,79,734,1008
60607,CAJAMARCA,CUTERVO,QUEROCOTILLO,110,1348,3600
60608,CAJAMARCA,CUTERVO,SAN ANDRES DE CUTERVO,57,642,1240
60609,CAJAMARCA,CUTERVO,SAN JUAN DE CUTERVO,49,380,285
60610,CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,64,576,451
60611,CAJAMARCA,CUTERVO,SANTA CRUZ,59,418,638
60612,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,149,896,871
60613,CAJAMARCA,CUTERVO,SANTO TOMAS,96,899,2001
60614,CAJAMARCA,CUTERVO,SOCOTA,188,1440,1715
60615,CAJAMARCA,CUTERVO,TORIBIO CASANOVA,17,135,396
60701,CAJAMARCA,HUALGAYOC,BAMBAMARCA,3263,9954,8414
60702,CAJAMARCA,HUALGAYOC,CHUGUR,93,534,331
60703,CAJAMARCA,HUALGAYOC,HUALGAYOC,357,1695,2385
60801,CAJAMARCA,JAEN,JAEN,11627,6413,6657
60802,CAJAMARCA,JAEN,BELLAVISTA,701,885,5480
60803,CAJAMARCA,JAEN,CHONTALI,85,1331,2055
60804,CAJAMARCA,JAEN,COLASAY,206,1529,2302
60805,CAJAMARCA,JAEN,HUABAL,151,1574,2089
60806,CAJAMARCA,JAEN,LAS PIRIAS,83,754,901
60807,CAJAMARCA,JAEN,POMAHUACA,137,1173,1552
60808,CAJAMARCA,JAEN,PUCARA,545,615,1711
60809,CAJAMARCA,JAEN,SALLIQUE,88,489,1994
60810,CAJAMARCA,JAEN,SAN FELIPE,82,560,1266
60811,CAJAMARCA,JAEN,SAN JOSE DEL ALTO,192,1268,1084
60812,CAJAMARCA,JAEN,SANTA ROSA,182,2099,2039
60901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,1373,5777,2644
60902,CAJAMARCA,SAN IGNACIO,CHIRINOS,353,2545,1891
60903,CAJAMARCA,SAN IGNACIO,HUARANGO,583,2659,4531
60904,CAJAMARCA,SAN IGNACIO,LA COIPA,359,2989,4702
60905,CAJAMARCA,SAN IGNACIO,NAMBALLE,179,1036,1820
60906,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,332,3265,3161
60907,CAJAMARCA,SAN IGNACIO,TABACONAS,305,3204,4025
61001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,908,3193,2956
61002,CAJAMARCA,SAN MARCOS,CHANCAY,82,643,392
61003,CAJAMARCA,SAN MARCOS,EDUARDO VILLANUEVA,48,515,324
61004,CAJAMARCA,SAN MARCOS,GREGORIO PITA,63,1019,784
61005,CAJAMARCA,SAN MARCOS,ICHOCAN,53,264,133
61006,CAJAMARCA,SAN MARCOS,JOSE MANUEL QUIROZ,42,331,957
61007,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,106,659,3449
61101,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,314,1714,2848
61102,CAJAMARCA,SAN MIGUEL,BOLIVAR,39,217,378
61103,CAJAMARCA,SAN MIGUEL,CALQUIS,59,608,874
61104,CAJAMARCA,SAN MIGUEL,CATILLUC,51,475,327
61105,CAJAMARCA,SAN MIGUEL,EL PRADO,36,371,328
61106,CAJAMARCA,SAN MIGUEL,LA FLORIDA,32,265,650
61107,CAJAMARCA,SAN MIGUEL,LLAPA,115,845,598
61108,CAJAMARCA,SAN MIGUEL,NANCHOC,22,135,444
61109,CAJAMARCA,SAN MIGUEL,NIEPOS,30,391,880
61110,CAJAMARCA,SAN MIGUEL,SAN GREGORIO,36,120,774
61111,CAJAMARCA,SAN MIGUEL,SAN SILVESTRE DE COCHAN,93,736,658
61112,CAJAMARCA,SAN MIGUEL,TONGOD,79,720,285
61113,CAJAMARCA,SAN MIGUEL,UNION AGUA BLANCA,49,488,454
61201,CAJAMARCA,SAN PABLO,SAN PABLO,333,1863,1875
61202,CAJAMARCA,SAN PABLO,SAN BERNARDINO,61,233,1219
61203,CAJAMARCA,SAN PABLO,SAN LUIS,23,75,337
61204,CAJAMARCA,SAN PABLO,TUMBADEN,64,549,693
61301,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,519,1378,1451
61302,CAJAMARCA,SANTA CRUZ,ANDABAMBA,12,178,370
61303,CAJAMARCA,SANTA CRUZ,CATACHE,113,71,2359
61304,CAJAMARCA,SANTA CRUZ,CHANCAYBANOS,94,291,743
61305,CAJAMARCA,SANTA CRUZ,LA ESPERANZA,39,55,748
61306,CAJAMARCA,SANTA CRUZ,NINABAMBA,41,471,222
61307,CAJAMARCA,SANTA CRUZ,PULAN,82,717,860
61308,CAJAMARCA,SANTA CRUZ,SAUCEPAMPA,33,60,517
61309,CAJAMARCA,SANTA CRUZ,SEXI,19,53,66
61310,CAJAMARCA,SANTA CRUZ,UTICYACU,22,220,235
61311,CAJAMARCA,SANTA CRUZ,YAUYUCAN,68,496,460
,CALLAO,CALLAO,CALLAO,59698,131699,23698
,CALLAO,CALLAO,BELLAVISTA,4325,2978,462
,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,5999,5553,656
,CALLAO,CALLAO,LA PERLA,2359,1201,358
,CALLAO,CALLAO,LA PUNTA,98,46,15
,CALLAO,CALLAO,VENTANILLA,22279,55485,11436
,CALLAO,CALLAO,MI PERU,3189,10341,2324
80101,CUSCO,CUSCO,CUSCO,91053,140286,167542
80102,CUSCO,CUSCO,CCORCA,47,569,287
80103,CUSCO,CUSCO,POROY,91053,140286,167542
80104,CUSCO,CUSCO,SAN JERONIMO,5834,6010,1818
80105,CUSCO,CUSCO,SAN SEBASTIAN,91053,140286,167542
80106,CUSCO,CUSCO,SANTIAGO,12429,9826,2499
80107,CUSCO,CUSCO,SAYLLA,875,445,111
80108,CUSCO,CUSCO,WANCHAQ,4668,521,15
80201,CUSCO,ACOMAYO,ACOMAYO,164,516,771
80202,CUSCO,ACOMAYO,ACOPIA,53,231,700
80203,CUSCO,ACOMAYO,ACOS,28,98,646
80204,CUSCO,ACOMAYO,MOSOC LLACTA,39,140,282
80205,CUSCO,ACOMAYO,POMACANCHI,101,874,1377
80206,CUSCO,ACOMAYO,RONDOCAN,25,95,808
80207,CUSCO,ACOMAYO,SANGARARA,55,236,725
80301,CUSCO,ANTA,ANTA,1768,2619,2319
80302,CUSCO,ANTA,ANCAHUASI,221,406,2490
80303,CUSCO,ANTA,CACHIMAYO,110,215,243
80304,CUSCO,ANTA,CHINCHAYPUJIO,76,408,1344
80305,CUSCO,ANTA,HUAROCONDO,190,1060,842
80306,CUSCO,ANTA,LIMATAMBO,245,1537,1848
80307,CUSCO,ANTA,MOLLEPATA,139,589,354
80308,CUSCO,ANTA,PUCYURA,313,482,400
80309,CUSCO,ANTA,ZURITE,90,297,708
80401,CUSCO,CALCA,CALCA,1988,3147,2650
80402,CUSCO,CALCA,COYA,77,147,625
80403,CUSCO,CALCA,LAMAY,156,827,1054
80404,CUSCO,CALCA,LARES,102,964,1691
80405,CUSCO,CALCA,PISAC,447,731,1842
80406,CUSCO,CALCA,SAN SALVADOR,161,394,1154
80407,CUSCO,CALCA,TARAY,258,459,721
80408,CUSCO,CALCA,YANATILE,279,890,2170
80501,CUSCO,CANAS,YANAOCA,258,988,2109
80502,CUSCO,CANAS,CHECCA,129,135,2190
80503,CUSCO,CANAS,KUNTURKANKI,186,361,1641
80504,CUSCO,CANAS,LANGUI,111,150,770
80505,CUSCO,CANAS,LAYO,127,572,1471
80506,CUSCO,CANAS,PAMPAMARCA,69,295,225
80507,CUSCO,CANAS,QUEHUE,58,255,861
80508,CUSCO,CANAS,TUPAC AMARU,66,301,909
80601,CUSCO,CANCHIS,SICUANI,4520,11637,11174
80602,CUSCO,CANCHIS,CHECACUPE,299,724,896
80603,CUSCO,CANCHIS,COMBAPATA,228,859,585
80604,CUSCO,CANCHIS,MARANGANI,430,1298,2246
80605,CUSCO,CANCHIS,PITUMARCA,176,1157,1782
80606,CUSCO,CANCHIS,SAN PABLO,179,650,1195
80607,CUSCO,CANCHIS,SAN PEDRO,212,374,575
80608,CUSCO,CANCHIS,TINTA,458,913,910
80701,CUSCO,CHUMBIVILCAS,SANTO TOMAS,687,2682,2957
80702,CUSCO,CHUMBIVILCAS,CAPACMARCA,181,559,1498
80703,CUSCO,CHUMBIVILCAS,CHAMACA,337,724,1580
80704,CUSCO,CHUMBIVILCAS,COLQUEMARCA,221,1831,1433
80705,CUSCO,CHUMBIVILCAS,LIVITACA,425,692,4079
80706,CUSCO,CHUMBIVILCAS,LLUSCO,116,742,1449
80707,CUSCO,CHUMBIVILCAS,QUINOTA,96,432,1240
80708,CUSCO,CHUMBIVILCAS,VELILLE,183,816,1963
80801,CUSCO,ESPINAR,ESPINAR,2536,7756,5255
80802,CUSCO,ESPINAR,CONDOROMA,53,36,420
80803,CUSCO,ESPINAR,COPORAQUE,619,437,4338
80804,CUSCO,ESPINAR,OCORURO,74,59,563
80805,CUSCO,ESPINAR,PALLPATA,198,801,1804
80806,CUSCO,ESPINAR,PICHIGUA,198,140,1300
80807,CUSCO,ESPINAR,SUYCKUTAMBO,81,46,757
80808,CUSCO,ESPINAR,ALTO PICHIGUA,100,183,721
80901,CUSCO,LA CONVENCION,SANTA ANA,4435,3121,1177
80902,CUSCO,LA CONVENCION,ECHARATE,1593,4566,4326
80903,CUSCO,LA CONVENCION,HUAYOPATA,401,1103,538
80904,CUSCO,LA CONVENCION,MARANURA,429,1246,813
80905,CUSCO,LA CONVENCION,OCOBAMBA,250,1185,741
80906,CUSCO,LA CONVENCION,QUELLOUNO,668,1849,1810
80907,CUSCO,LA CONVENCION,KIMBIRI,1534,2620,2341
80908,CUSCO,LA CONVENCION,SANTA TERESA,475,1157,1165
80909,CUSCO,LA CONVENCION,VILCABAMBA,572,1113,3218
80910,CUSCO,LA CONVENCION,PICHARI,1911,2687,4053
80911,CUSCO,LA CONVENCION,INKAWASI,114,1146,903
80912,CUSCO,LA CONVENCION,VILLA VIRGEN,62,634,268
80913,CUSCO,LA CONVENCION,VILLA KINTIARINA,64,237,832
80914,CUSCO,LA CONVENCION,MEGANTONI,599,3389,1685
,CUSCO,LA CONVENCION,KUMPIRUSHIATO,109,500,1235
,CUSCO,LA CONVENCION,CIELO PUNCO,40,334,481
,CUSCO,LA CONVENCION,MANITEA,117,519,529
,CUSCO,LA CONVENCION,UNION ASHANINK,178,296,1017
81001,CUSCO,PARURO,PARURO,78,439,482
81002,CUSCO,PARURO,ACCHA,74,444,694
81003,CUSCO,PARURO,CCAPI,48,696,608
81004,CUSCO,PARURO,COLCHA,13,81,297
81005,CUSCO,PARURO,HUANOQUITE,187,829,846
81006,CUSCO,PARURO,OMACHA,66,717,1581
81007,CUSCO,PARURO,PACCARITAMBO,32,82,666
81008,CUSCO,PARURO,PILLPINTO,11,72,435
81009,CUSCO,PARURO,YAURISQUE,76,275,749
81101,CUSCO,PAUCARTAMBO,PAUCARTAMBO,336,1132,3033
81102,CUSCO,PAUCARTAMBO,CAICAY,79,182,774
81103,CUSCO,PAUCARTAMBO,CHALLABAMBA,182,1424,1843
81104,CUSCO,PAUCARTAMBO,COLQUEPATA,119,1207,1344
81105,CUSCO,PAUCARTAMBO,HUANCARANI,184,795,1093
81106,CUSCO,PAUCARTAMBO,KOSNIPATA,109,680,1541
81201,CUSCO,QUISPICANCHI,URCOS,634,1360,1294
81202,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,465,990,559
81203,CUSCO,QUISPICANCHI,CAMANTI,127,187,192
81204,CUSCO,QUISPICANCHI,CCARHUAYO,45,633,450
81205,CUSCO,QUISPICANCHI,CCATCA,260,1166,3558
81206,CUSCO,QUISPICANCHI,CUSIPATA,266,653,735
81207,CUSCO,QUISPICANCHI,HUARO,148,317,997
81208,CUSCO,QUISPICANCHI,LUCRE,248,409,525
81209,CUSCO,QUISPICANCHI,MARCAPATA,181,248,1503
81210,CUSCO,QUISPICANCHI,OCONGATE,486,2181,4032
81211,CUSCO,QUISPICANCHI,OROPESA,1042,1097,411
81212,CUSCO,QUISPICANCHI,QUIQUIJANA,270,860,2122
81301,CUSCO,URUBAMBA,URUBAMBA,2067,2158,1546
81302,CUSCO,URUBAMBA,CHINCHERO,758,1135,1149
81303,CUSCO,URUBAMBA,HUAYLLABAMBA,385,509,823
81304,CUSCO,URUBAMBA,MACHUPICCHU,620,553,386
81305,CUSCO,URUBAMBA,MARAS,191,90,2587
81306,CUSCO,URUBAMBA,OLLANTAYTAMBO,531,961,1420
81307,CUSCO,URUBAMBA,YUCAY,204,744,203
90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,16242,44400,70975
90102,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,58,388,502
90103,HUANCAVELICA,HUANCAVELICA,ACORIA,552,2082,4077
90104,HUANCAVELICA,HUANCAVELICA,CONAYCA,17,148,94
90105,HUANCAVELICA,HUANCAVELICA,CUENCA,30,131,357
90106,HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,96,129,453
90107,HUANCAVELICA,HUANCAVELICA,HUAYLLAHUARA,34,127,167
90108,HUANCAVELICA,HUANCAVELICA,IZCUCHACA,100,208,54
90109,HUANCAVELICA,HUANCAVELICA,LARIA,20,94,209
90110,HUANCAVELICA,HUANCAVELICA,MANTA,25,139,157
90111,HUANCAVELICA,HUANCAVELICA,MARISCAL CACERES,12,101,54
90112,HUANCAVELICA,HUANCAVELICA,MOYA,45,125,225
90113,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,92,219,617
90114,HUANCAVELICA,HUANCAVELICA,PALCA,96,337,429
90115,HUANCAVELICA,HUANCAVELICA,PILCHACA,18,91,118
90116,HUANCAVELICA,HUANCAVELICA,VILCA,44,406,486
90117,HUANCAVELICA,HUANCAVELICA,YAULI,823,1459,5243
90118,HUANCAVELICA,HUANCAVELICA,ASCENSION,1183,1936,1197
90119,HUANCAVELICA,HUANCAVELICA,HUANDO,186,777,1307
90201,HUANCAVELICA,ACOBAMBA,ACOBAMBA,677,1791,816
90202,HUANCAVELICA,ACOBAMBA,ANDABAMBA,67,469,905
90203,HUANCAVELICA,ACOBAMBA,ANTA,87,418,1401
90204,HUANCAVELICA,ACOBAMBA,CAJA,58,229,785
90205,HUANCAVELICA,ACOBAMBA,MARCAS,44,328,523
90206,HUANCAVELICA,ACOBAMBA,PAUCARA,315,1301,2091
90207,HUANCAVELICA,ACOBAMBA,POMACOCHA,87,653,679
90208,HUANCAVELICA,ACOBAMBA,ROSARIO,103,409,1726
90301,HUANCAVELICA,ANGARAES,LIRCAY,1599,2764,4340
90302,HUANCAVELICA,ANGARAES,ANCHONGA,245,465,2151
90303,HUANCAVELICA,ANGARAES,CALLANMARCA,24,82,253
90304,HUANCAVELICA,ANGARAES,CCOCHACCASA,227,327,206
90305,HUANCAVELICA,ANGARAES,CHINCHO,36,213,194
90306,HUANCAVELICA,ANGARAES,CONGALLA,86,526,1001
90307,HUANCAVELICA,ANGARAES,HUANCA-HUANCA,33,206,388
90308,HUANCAVELICA,ANGARAES,HUAYLLAY GRANDE,27,118,387
90309,HUANCAVELICA,ANGARAES,JULCAMARCA,38,207,229
90310,HUANCAVELICA,ANGARAES,SAN ANTONIO DE ANTAPARCO,26,153,172
90311,HUANCAVELICA,ANGARAES,SANTO TOMAS DE PATA,44,204,495
90312,HUANCAVELICA,ANGARAES,SECCLLA,77,515,619
90401,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,215,338,293
90402,HUANCAVELICA,CASTROVIRREYNA,ARMA,21,66,284
90403,HUANCAVELICA,CASTROVIRREYNA,AURAHUA,34,189,339
90404,HUANCAVELICA,CASTROVIRREYNA,CAPILLAS,27,244,175
90405,HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,13,173,138
90406,HUANCAVELICA,CASTROVIRREYNA,COCAS,35,127,386
90407,HUANCAVELICA,CASTROVIRREYNA,HUACHOS,24,184,309
90408,HUANCAVELICA,CASTROVIRREYNA,HUAMATAMBO,8,84,48
90409,HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,29,179,215
90410,HUANCAVELICA,CASTROVIRREYNA,SAN JUAN,31,114,208
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,56,61,259
90412,HUANCAVELICA,CASTROVIRREYNA,TANTARA,24,170,96
90413,HUANCAVELICA,CASTROVIRREYNA,TICRAPO,95,236,244
90501,HUANCAVELICA,CHURCAMPA,CHURCAMPA,190,797,885
90502,HUANCAVELICA,CHURCAMPA,ANCO,104,1008,934
90503,HUANCAVELICA,CHURCAMPA,CHINCHIHUASI,38,235,793
90504,HUANCAVELICA,CHURCAMPA,EL CARMEN,42,104,1078
90505,HUANCAVELICA,CHURCAMPA,LA MERCED,7,83,187
90506,HUANCAVELICA,CHURCAMPA,LOCROJA,91,333,1162
90507,HUANCAVELICA,CHURCAMPA,PAUCARBAMBA,64,614,1214
90508,HUANCAVELICA,CHURCAMPA,SAN MIGUEL DE MAYOCC,21,111,168
90509,HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,63,244,816
90510,HUANCAVELICA,CHURCAMPA,PACHAMARCA,54,394,554
90511,HUANCAVELICA,CHURCAMPA,COSME,31,509,730
90601,HUANCAVELICA,HUAYTARA,HUAYTARA,156,327,252
90602,HUANCAVELICA,HUAYTARA,AYAVI,10,65,159
90603,HUANCAVELICA,HUAYTARA,CORDOVA,25,223,211
90604,HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,8,65,32
90605,HUANCAVELICA,HUAYTARA,LARAMARCA,15,127,73
90606,HUANCAVELICA,HUAYTARA,OCOYO,17,136,164
90607,HUANCAVELICA,HUAYTARA,PILPICHACA,161,213,1390
90608,HUANCAVELICA,HUAYTARA,QUERCO,21,167,153
90609,HUANCAVELICA,HUAYTARA,QUITO-ARMA,18,152,133
90610,HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,26,173,276
90611,HUANCAVELICA,HUAYTARA,SAN FRANCISCO DE SANGAYAICO,11,136,283
90612,HUANCAVELICA,HUAYTARA,SAN ISIDRO,11,40,187
90613,HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,70,241,477
90614,HUANCAVELICA,HUAYTARA,SANTIAGO DE QUIRAHUARA,10,18,188
90615,HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,19,130,142
90616,HUANCAVELICA,HUAYTARA,TAMBO,21,166,118
90701,HUANCAVELICA,TAYACAJA,PAMPAS,654,1554,948
90702,HUANCAVELICA,TAYACAJA,ACOSTAMBO,96,503,797
90703,HUANCAVELICA,TAYACAJA,ACRAQUIA,208,811,698
90704,HUANCAVELICA,TAYACAJA,AHUAYCHA,164,743,567
90705,HUANCAVELICA,TAYACAJA,COLCABAMBA,324,1563,3104
90706,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,539,1566,1362
90707,HUANCAVELICA,TAYACAJA,HUACHOCOLPA,65,280,540
90709,HUANCAVELICA,TAYACAJA,HUARIBAMBA,107,320,1118
90710,HUANCAVELICA,TAYACAJA,NAHUIMPUQUIO,47,304,270
