Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
LIMA,HUAROCHIRI,SAN MATEO DE OTAO,103,222,239
LIMA,HUAROCHIRI,SAN PEDRO DE CASTA,29,48,250
LIMA,HUAROCHIRI,SAN PEDRO DE HUANCAYRE,1,55,12
LIMA,HUAROCHIRI,SANGALLAYA,19,89,91
LIMA,HUAROCHIRI,SANTA CRUZ DE COCACHACRA,228,232,241
LIMA,HUAROCHIRI,SANTA EULALIA,561,2411,302
LIMA,HUAROCHIRI,SANTIAGO DE ANCHUCAYA,6,46,139
LIMA,HUAROCHIRI,SANTIAGO DE TUNA,12,131,47
LIMA,HUAROCHIRI,SANTO DOMINGO DE LOS OLLEROS,434,427,195
LIMA,HUAROCHIRI,SURCO,50,195,468
LIMA,HUAURA,HUACHO,5691,7578,393
LIMA,HUAURA,AMBAR,39,241,392
LIMA,HUAURA,CALETA DE CARQUIN,855,1077,152
LIMA,HUAURA,CHECRAS,24,153,191
LIMA,HUAURA,HUALMAY,4445,5642,184
LIMA,HUAURA,HUAURA,2141,6871,872
LIMA,HUAURA,LEONCIO PRADO,144,253,245
LIMA,HUAURA,PACCHO,16,237,201
LIMA,HUAURA,SANTA LEONOR,30,58,113
LIMA,HUAURA,SANTA MARIA,2642,8039,1008
LIMA,HUAURA,SAYAN,1471,2884,1559
LIMA,HUAURA,VEGUETA,893,2904,2056
LIMA,OYON,OYON,214,698,938
LIMA,OYON,ANDAJES,13,49,53
LIMA,OYON,CAUJUL,28,144,15
LIMA,OYON,COCHAMARCA,10,294,103
LIMA,OYON,NAVAN,13,193,124
LIMA,OYON,PACHANGARA,320,265,261
LIMA,YAUYOS,YAUYOS,79,220,63
LIMA,YAUYOS,ALIS,11,8,51
LIMA,YAUYOS,ALLAUCA,76,228,216
LIMA,YAUYOS,AYAVIRI,20,140,30
LIMA,YAUYOS,AZANGARO,14,99,81
LIMA,YAUYOS,CACRA,24,71,113
LIMA,YAUYOS,CARANIA,5,50,18
LIMA,YAUYOS,CATAHUASI,78,133,299
LIMA,YAUYOS,CHOCOS,25,110,275
LIMA,YAUYOS,COCHAS,25,31,20
LIMA,YAUYOS,COLONIA,33,186,449
LIMA,YAUYOS,HONGOS,7,122,44
LIMA,YAUYOS,HUAMPARA,15,40,2
LIMA,YAUYOS,HUANCAYA,18,57,48
LIMA,YAUYOS,HUANGASCAR,24,104,94
LIMA,YAUYOS,HUANTAN,43,119,39
LIMA,YAUYOS,HUAÑEC,2,40,51
LIMA,YAUYOS,LARAOS,23,98,69
LIMA,YAUYOS,LINCHA,22,159,104
LIMA,YAUYOS,MADEAN,12,165,154
LIMA,YAUYOS,MIRAFLORES,26,72,9
LIMA,YAUYOS,OMAS,32,89,95
LIMA,YAUYOS,PUTINZA,27,62,128
LIMA,YAUYOS,QUINCHES,8,187,42
LIMA,YAUYOS,QUINOCAY,62,90,40
LIMA,YAUYOS,SAN JOAQUIN,10,25,9
LIMA,YAUYOS,SAN PEDRO DE PILAS,12,59,82
LIMA,YAUYOS,TANTA,26,62,26
LIMA,YAUYOS,TAURIPAMPA,18,161,55
LIMA,YAUYOS,TOMAS,28,79,124
LIMA,YAUYOS,TUPE,19,53,129
LIMA,YAUYOS,VIÑAC,33,241,361
LIMA,YAUYOS,VITIS,8,51,39
