Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,3,41,77
ANCASH,OCROS,SAN PEDRO,42,84,99
ANCASH,OCROS,SANTIAGO DE CHILCAS,7,92,109
ANCASH,PALLASCA,CABANA,112,482,72
ANCASH,PALLASCA,BOLOGNESI,32,169,143
ANCASH,PALLASCA,CONCHUCOS,96,1783,716
ANCASH,PALLASCA,HUACASCHUQUE,22,103,57
ANCASH,PALLASCA,HUANDOVAL,65,217,50
ANCASH,PALLASCA,LACABAMBA,9,103,86
ANCASH,PALLASCA,LLAPO,21,153,5
ANCASH,PALLASCA,PALLASCA,83,549,174
ANCASH,PALLASCA,PAMPAS,168,712,397
ANCASH,PALLASCA,SANTA ROSA,60,122,31
ANCASH,PALLASCA,TAUCA,76,602,176
ANCASH,POMABAMBA,POMABAMBA,553,1369,2490
ANCASH,POMABAMBA,HUAYLLAN,67,476,645
ANCASH,POMABAMBA,PAROBAMBA,93,313,1811
ANCASH,POMABAMBA,QUINUABAMBA,33,187,785
ANCASH,RECUAY,RECUAY,292,911,606
ANCASH,RECUAY,CATAC,371,840,245
ANCASH,RECUAY,COTAPARACO,42,96,21
ANCASH,RECUAY,HUAYLLAPAMPA,13,125,149
ANCASH,RECUAY,LLACLLIN,34,133,184
ANCASH,RECUAY,MARCA,25,136,188
ANCASH,RECUAY,PAMPAS CHICO,10,193,89
ANCASH,RECUAY,PARARIN,33,125,177
ANCASH,RECUAY,TAPACOCHA,6,88,64
ANCASH,RECUAY,TICAPAMPA,143,389,272
ANCASH,SANTA,CHIMBOTE,15457,21060,3458
ANCASH,SANTA,CACERES DEL PERU,182,407,895
ANCASH,SANTA,COISHCO,2854,3013,85
ANCASH,SANTA,MACATE,115,739,212
ANCASH,SANTA,MORO,201,862,919
ANCASH,SANTA,NEPEÑA,1095,926,383
ANCASH,SANTA,SAMANCO,285,612,104
ANCASH,SANTA,SANTA,2233,2661,590
ANCASH,SANTA,NUEVO CHIMBOTE,18173,24262,2022
ANCASH,SIHUAS,SIHUAS,89,725,253
ANCASH,SIHUAS,ACOBAMBA,14,469,172
ANCASH,SIHUAS,ALFONSO UGARTE,18,79,62
ANCASH,SIHUAS,CASHAPAMPA,33,248,488
ANCASH,SIHUAS,CHINGALPO,20,190,99
ANCASH,SIHUAS,HUAYLLABAMBA,36,737,440
ANCASH,SIHUAS,QUICHES,30,559,190
ANCASH,SIHUAS,RAGASH,21,313,443
ANCASH,SIHUAS,SAN JUAN,136,582,1932
ANCASH,SIHUAS,SICSIBAMBA,3,193,167
ANCASH,YUNGAY,YUNGAY,854,2346,2804
ANCASH,YUNGAY,CASCAPARA,22,321,253
ANCASH,YUNGAY,MANCOS,871,823,821
ANCASH,YUNGAY,MATACOTO,96,245,99
ANCASH,YUNGAY,QUILLO,119,638,2994
ANCASH,YUNGAY,RANRAHIRCA,178,457,261
ANCASH,YUNGAY,SHUPLUY,57,365,242
ANCASH,YUNGAY,YANAMA,108,962,758
APURIMAC,ABANCAY,ABANCAY,20643,52167,67818
APURIMAC,ABANCAY,CHACOCHE,20643,52167,67818
APURIMAC,ABANCAY,CIRCA,99,350,419
APURIMAC,ABANCAY,CURAHUASI,1257,2387,1787
APURIMAC,ABANCAY,HUANIPACA,68,489,881
APURIMAC,ABANCAY,LAMBRAMA,64,174,1100
APURIMAC,ABANCAY,PICHIRHUA,111,203,935
APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,57,175,807
APURIMAC,ABANCAY,TAMBURCO,805,1291,733
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,2561,4850,3117
APURIMAC,ANDAHUAYLAS,ANDARAPA,92,722,1830
APURIMAC,ANDAHUAYLAS,CHIARA,13,162,349
APURIMAC,ANDAHUAYLAS,HUANCARAMA,101,1078,550
APURIMAC,ANDAHUAYLAS,HUANCARAY,84,343,1193
APURIMAC,ANDAHUAYLAS,HUAYANA,12,126,202
APURIMAC,ANDAHUAYLAS,KISHUARA,155,1588,558
APURIMAC,ANDAHUAYLAS,PACOBAMBA,80,410,958
APURIMAC,ANDAHUAYLAS,PACUCHA,237,947,2290
APURIMAC,ANDAHUAYLAS,PAMPACHIRI,71,400,429
APURIMAC,ANDAHUAYLAS,POMACOCHA,19,119,278
APURIMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,32,247,833
APURIMAC,ANDAHUAYLAS,SAN JERONIMO,951,2540,1753
APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,34,255,488
APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,148,1299,1883
APURIMAC,ANDAHUAYLAS,TALAVERA,1221,2580,2327
APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,19,200,493
APURIMAC,ANDAHUAYLAS,TURPO,66,453,1148
APURIMAC,ANDAHUAYLAS,KAQUIABAMBA,38,517,260
APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,91,677,660
APURIMAC,ANTABAMBA,ANTABAMBA,81,346,803
