Código,Departamento,Provincia,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
1602,Loreto,Amazonas,15548,96925,10252
1603,Loreto,Loreto,8462,50836,3139
1604,Loreto,Castilla,6412,40746,1914
1605,Loreto,Requena,7657,48196,2658
1606,Loreto,Ucayali,6859,44623,3155
1607,Loreto,Marañón,7504,38764,2214
1608,Loreto,Putumayo,950,6109,721
1701,Madre de Dios,Tambopata,11328,81223,18923
1702,Madre de Dios,Manu,2052,12774,3723
1703,Madre de Dios,Tahuamanu,1140,7228,2679
1801,Moquegua,Nieto,6276,67614,11459
1802,Moquegua,Cerro,964,12656,1245
1803,Moquegua,Ilo,5784,61391,7474
1901,Pasco,Pasco,10593,100789,11633
1902,Pasco,Carrión,2844,39454,1282
1903,Pasco,Oxapampa,9180,68412,9878
2001,Piura,Piura,75400,611075,112846
2002,Piura,Ayabaca,12656,103804,2827
2003,Piura,Huancabamba,11291,96688,3522
2004,Piura,Morropón,15226,139176,7625
2005,Piura,Paita,14128,108875,6889
2006,Piura,Sullana,27970,268258,15226
2007,Piura,Talara,13051,119444,11655
2008,Piura,Sechura,10058,65097,4022
2101,Puno,Puno,15571,188371,15552
2102,Puno,Azángaro,9070,98135,3187
2103,Puno,Carabaya,6412,63702,3208
2104,Puno,Chucuito,5972,80124,2906
2105,Puno,Collao,3880,57874,2124
2106,Puno,Huancané,3784,52061,1806
2107,Puno,Lampa,3403,35347,2106
2108,Puno,Melgar,5017,57589,4532
2109,Puno,Moho,1029,18319,405
2110,Puno,Putina,2630,28759,4724
2111,Puno,Román,26606,213737,67074
2112,Puno,Sandia,4077,43389,3276
2113,Puno,Yunguyo,2211,33502,1226
2201,San Martín,Moyobamba,12061,97410,12894
2202,San Martín,Bellavista,5961,43135,5937
2203,San Martín,Dorado,4075,30440,2237
2204,San Martín,Huallaga,2719,21922,2865
2205,San Martín,Lamas,8231,67525,5765
2206,San Martín,Cáceres,6761,50117,7748
2207,San Martín,Picota,4267,31724,4554
2208,San Martín,Rioja,13204,95173,14167
2209,San Martín,Martín,17126,142432,33537
2210,San Martín,Tocache,6912,52949,9533
2301,Tacna,Tacna,22398,236362,47603
2302,Tacna,Candarave,345,5422,335
2303,Tacna,Basadre,748,7516,2509
2304,Tacna,Tarata,333,4663,1098
2401,Tumbes,Tumbes,14209,129493,11260
2402,Tumbes,Villar,2083,16505,2469
2403,Tumbes,Zarumilla,5403,38218,5223
2501,Ucayali,Portillo,41662,293454,49052
2502,Ucayali,Atalaya,7529,38079,3716
2503,Ucayali,Abad,6923,45314,7870
2504,Ucayali,Purús,370,2332,158
